title,journal,year
Una nota en codimensiÛn de subespacios de ciertos espacios localmente convexos,Studia Math,1967.0
Generalized Cesaro operators in the disc algebra and in Hardy spaces,Advances in Operator Theory,2025.0
Mean ergodic and related properties of generalized Cesaro operators in BK-sequence spaces,Monatshefte fur Mathematik,2024.0
Cesaro operators on the space of analytic functions with logarithmic growth,Arxiv preprint arXiv:,2024.0
Norm Attaining Elements of the Ball Algebra ,Results in Mathematics,2024.0
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norm,Arxiv preprint arXiv:,2024.0
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norm,Arxiv preprint arXiv:,2024.0
Duality and Linear Operators,Conferencia,2023.0
Spaces of Holomorphic and Differentiable Functions and Operators Between Them,Conferencia,2023.0
Locally Convex Spaces,Conferencia,2023.0
Schwartz Distributions and Linear Partial Differential Operators,Conferencia,2023.0
Convergence of Sequences of Functions,Conferencia,2023.0
Transitive and Mean Ergodic Operators,Conferencia,2023.0
On solid cores and hulls of weighted Bergman spaces A^ 1_mu,Journal of Mathematical Sciences,2022.0
On solid cores and hulls of weighted Bergman spaces,Journal of Mathematical Sciences,2022.0
Hausdorff Operators on Weighted Banach Spaces of Type H-infinity,Complex Analysis and Operator Theory,2022.0
On decay rates of the solutions of parabolic Cauchy problems,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,2021.0
On boundedness and compactness of Toeplitz operators in weighted H-infinity-spaces,Journal of Functional Analysis,2020.0
The mathematical work of Pawe≈Ç Domanski,Functiones et Approximatio Commentarii Mathematici,2018.0
Infinite Dimensional,,2018.0
Solid hulls and cores of weighted H-infinity-spaces,Revista Matematica Complutense,2018.0
The mathematical work of Pawel Domanski,Functiones et Approximatio Commentarii Mathematici,2018.0
Matematyczny dorobek Paw≈Ça Domanskiego,Wiadomosci Matematyczne,2017.0
Erratum to: Dynamics and spectrum of the Cesaro operator on ,Monatshefte fur Mathematik,2016.0
Dynamics and spectrum of the Cesaro operator on C-infinity (R+)(vol 181 pg 267 2016),Monatshefte fur Mathematik,2016.0
A note on completeness of weighted Banach spaces of analytic functions,Arxiv preprint arXiv:,2016.0
Classical operators on weighted Banach spaces of entire functions,,2013.0
Shrinking and boundedly complete atomic decompositions in Fr\'echet spaces,Arxiv preprint arXiv:,2012.0
Division de distribuciones atemperadas de una variable,,2012.0
El problema de la division para distribuciones atemperadas de una variable,,2012.0
Orbits of composition operators on spaces of real analytic functions,,2012.0
Holomorphic dependence of diagonal operators between sequence spaces,,2011.0
Mean ergodic operators on spaces of analytic functions,,2010.0
Un problema sobre la estructura de espacios de Frechet,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2010.0
Dynamics of composition operators on spaces of real analytic functions,,2010.0
El legado de Prometeo: aspectos del analisis matematico para el siglo XXI,,2009.0
Power bounded composition operators on spaces of real analytic functions,Conferencia,2009.0
Contemporary Mathematics Volume 481 2009,Functional Analysis,2009.0
Fundamentos matematicos en arquitectura,Universitat Politecnica de Valencia,2009.0
